created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,,,
Sat Jan 29 00:12:59 +0000 2022;1487217171033845760;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1487217171033845760;Jokamlicious;https://twitter.com/Jokamlicious/status/1487217171033845760,,,,,,,,,,,,,
Fri Jan 28 13:16:47 +0000 2022;1487052031634280468;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital... - https://t.co/Spsg0QOkbo;0;0;0;0;in;817669043792420864;1487052031634280468;kalderanews;https://twitter.com/kalderanews/status/1487052031634280468,,,,,,,,,,,,,
Fri Jan 28 09:24:16 +0000 2022;1486993517184495621;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/xmJMY4wglq;0;0;0;0;en;1280745674644963328;1486993517184495621;nails_rosie;https://twitter.com/nails_rosie/status/1486993517184495621,,,,,,,,,,,,,
Fri Jan 28 07:13:02 +0000 2022;1486960491872534528;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1486960491872534528;Jokamlicious;https://twitter.com/Jokamlicious/status/1486960491872534528,,,,,,,,,,,,,
Fri Jan 28 07:03:43 +0000 2022;1486958149332578311;Just posted a photo @ Universitas Budi Luhur https://t.co/pW7rvhXutW;0;0;0;0;en;253746389;1486958149332578311;fti_budiluhur;https://twitter.com/fti_budiluhur/status/1486958149332578311,,,,,,,,,,,,,
Fri Jan 28 05:52:01 +0000 2022;1486940104966901761;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo;0;0;0;0;in;817669043792420864;1486940104966901761;kalderanews;https://twitter.com/kalderanews/status/1486940104966901761,,,,,,,,,,,,,
Fri Jan 28 02:07:04 +0000 2022;1486883491589472259;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo ....;0;0;0;0;in;817669043792420864;1486883491589472259;kalderanews;https://twitter.com/kalderanews/status/1486883491589472259,,,,,,,,,,,,,
Fri Jan 28 02:07:00 +0000 2022;1486883478108925953;Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo;0;0;0;0;in;817669043792420864;1486883478108925953;kalderanews;https://twitter.com/kalderanews/status/1486883478108925953,,,,,,,,,,,,,
Thu Jan 27 15:20:01 +0000 2022;1486720658134298628;@JackGydanz @nadiemmakarim Batasi aplikasi di hp yg tak mendidik.. Kita ini bangsa timur yg terkenal luhur budi pakertinya..;0;1;0;1;in;1333960134452625410;1486616154894258180;JaenoXTM;https://twitter.com/JaenoXTM/status/1486720658134298628,,,,,,,,,,,,,
Thu Jan 27 14:12:54 +0000 2022;1486703766472892416;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1486703766472892416;Jokamlicious;https://twitter.com/Jokamlicious/status/1486703766472892416,,,,,,,,,,,,,
Thu Jan 27 12:31:48 +0000 2022;1486678326420905986;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/B6bzclasWO;0;0;0;0;en;1280745674644963328;1486678326420905986;nails_rosie;https://twitter.com/nails_rosie/status/1486678326420905986,,,,,,,,,,,,,
Thu Jan 27 11:57:22 +0000 2022;1486669658392457218;@Jelantik5 Sudah mulai bersemi BUDI LUHUR..;1;1;1;3;in;1314883599280205826;1486575587535638528;mbak_londoaiue;https://twitter.com/mbak_londoaiue/status/1486669658392457218,,,,,,,,,,,,,
Thu Jan 27 08:20:00 +0000 2022;1486614958745939968;@G3boy2 kalo dulu univ budi luhur, kalo jaman sekarang bergeser jadi 'uwu banget loh' 😭🙏;0;0;0;0;in;267700023;1486575810387447808;reneythoughts;https://twitter.com/reneythoughts/status/1486614958745939968,,,,,,,,,,,,
Thu Jan 27 05:44:27 +0000 2022;1486575810387447808;dulu UBL tuh singkatan Univ Budi Luhur, ternyata sekarang udah bergeser jadi UWU BANGET LOH. *dahla capek💔🙃*;0;1;0;3;in;267700023;1486575810387447808;reneythoughts;https://twitter.com/reneythoughts/status/1486575810387447808,,,,,,,,,,,,
Wed Jan 26 21:12:52 +0000 2022;1486447066251657216;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1486447066251657216;Jokamlicious;https://twitter.com/Jokamlicious/status/1486447066251657216,,,,,,,,,,,,,
