malware,class,_llseek,accept,access,bind,brk,capget,chmod,chown32,clock_gettime,clone,close,connect,dup,dup2,epoll_create,epoll_ctl,epoll_wait,error,execve,exit,exit_group,fchmod,fchown32,fcntl64,fdatasync,flock,fork,fstat64,fsync,ftruncate,ftruncate64,futex,getdents64,getegid32,geteuid32,getgid32,getpid,getppid,getpriority,getresgid32,getresuid32,getrlimit,getsockname,getsockopt,gettid,gettimeofday,getuid,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mount,mprotect,mremap,munmap,nanosleep,open,pipe,poll,prctl,pread,pwrite,read,readlink,recv,recvfrom,rename,restart_syscall,rmdir,rt_sigreturn,rt_sigtimedwait,sched_getparam,sched_getscheduler,sched_yield,select,setgid32,setgroups32,setpgid,setpriority,setregid32,setresgid32,setresuid32,setreuid32,setsid,setsockopt,setuid32,shutdown,sigaction,sigprocmask,sigreturn,socket,socketpair,stat64,statfs64,sync,syscall_983042,syscall_983045,tgkill,umask,uname,unlink,utimes,vfork,wait4,write,writev
Clean8,N,62,0,762,0,0,0,71,0,55923,85,2561,0,734,0,17,22,32619,23,0,77,0,0,293,2437,556,0,0,1759,8,0,0,39049,954,0,0,0,16134,0,1259,0,0,0,0,0,2058,2766,0,14058,20048,867,23,1297,0,1127,0,14185,14,1069,53,1319,17,0,85,522,1634,55403,0,211,24308,71,6,0,0,331,0,0,13,0,0,0,0,102,0,0,0,0,0,4,0,0,0,4904,0,0,0,1735,0,0,6203,16,0,1465,0,134,63,0,0,27183,3980
Clean9,N,0,0,111,23,0,0,4,0,776430,1062,1304,47,998,0,0,18,10062,34,0,1049,0,0,6,84,1,0,0,363,4,0,0,5284022,68,0,0,0,5543,0,338,0,0,0,46,22,1545,289080,0,4178,3114250,20,25,4754,34,1927,0,38100,10,1772,11155,224,0,0,1052,447,2,3363,0,7044,27408,3,23,0,0,271,0,0,148469,0,0,0,0,1052,0,0,0,0,0,76,0,2,0,5570,0,46,0,21,0,0,4839,269,0,30,0,24,0,0,0,4049,2744
Clean10,N,2,0,1679,826,0,0,162,0,1170453,235,13451,1380,111,0,1,60,244766,70,1,231,0,1,7,3389,10,2,1,17842,155,0,0,10973894,5562,0,181,0,189134,0,973,0,0,0,1663,4201,21506,1058862,0,175405,2704954,13058,164,16054,16,3816,0,23245,180,1749,356649,8882,121,504,234,451,164,60337,0,21586,114468,191,176,7,23,158,79,79,225,120024,0,0,1,433,0,0,0,0,0,2293,0,15,46,487475,0,4157,0,1267,308,0,39169,56,23,35,0,160,0,0,1,31825,5450
Clean11,N,0,0,861,40,0,0,30,0,164153,102,1073,124,79,0,12,250,21455,44,0,77,0,0,431,3797,387,0,0,1760,2,8,0,530318,26,4,4,4,13287,0,1363,0,0,0,120,228,2162,13748,0,11310,171627,7,6,3599,7,2350,0,48695,53,1497,111,817,13,32,98,2344,2385,8731,0,1673,30981,1,419,0,0,587,0,0,16,77,0,0,0,246,0,0,0,0,0,409,0,64,0,15426,0,127,2,1023,0,0,23496,24,0,2155,0,21,41,0,0,12442,4081
Clean12,N,0,0,1200,27,0,0,5,0,45563,39,1857,80,92,0,0,105,9236,65,0,37,0,0,701,5486,702,0,0,3056,0,3,0,116723,2,0,0,0,4738,0,896,0,0,0,75,150,898,5902,0,3775,50113,44,0,2671,18,1549,0,13188,163,1258,511,1709,2,19,32,1226,2133,5377,0,840,10775,59,430,0,0,621,0,0,19,56,0,0,0,70,0,0,0,0,0,289,0,0,0,4324,0,82,0,1311,0,0,12385,5,0,3505,0,5,0,0,0,11253,992
Clean13,N,0,0,533,33,0,0,7,0,24951,44,643,64,107,0,0,25,5035,31,0,40,0,0,103,1010,32,0,0,670,4,0,0,92784,0,0,0,0,2701,0,384,0,0,0,62,6320,525,1144,0,1823,39975,36,19,823,0,560,0,10454,14,360,29,336,14,31,43,313,109,1841,0,636,5709,4,1,0,0,336,0,0,5,41,0,0,0,58,0,0,0,0,0,77,0,4,0,3347,0,64,0,261,0,0,5191,13,0,515,1,19,0,0,0,2846,87
Clean14,N,0,0,113,13,0,0,5,0,736044,32,879,34,60,0,3,32,33635,51,0,26,0,0,63,602,58,44,0,504,0,2,0,426299,4,0,0,0,20903,0,241,0,0,0,27,48,19210,11480,0,16968,227907,388,0,1459,8,509,0,7003,8,229,92971,1179,13,22,27,143,193,2284,0,3463,35799,0,607,0,19,190,55,55,11,24,0,0,0,32,0,0,0,0,0,43,0,0,37,2022,0,34,0,189,0,0,5120,8,18,315,2,2,0,0,0,2153,567
Clean15,N,36,0,1383,41,0,0,63,0,21079,44,13565,71,30,9,12,15,4058,29,12,36,0,0,541,4035,103,0,3,2320,26,0,0,24064,24,0,0,0,4021,0,1181,0,0,3,82,52,1970,3270,0,2162,15258,26,26,1648,3,733,0,6329,13,662,47,1088,24,12,44,1381,279,1125,0,275,3125,26,27,0,0,276,0,0,9,0,0,0,0,56,0,0,0,0,0,73,0,0,0,2969,0,71,0,1321,0,0,3010,3,0,2705,0,28,0,0,6,3809,219
Clean16,N,0,0,767,4,0,0,18,0,56121,30,1052,29,151,0,4,101,22962,29,0,23,0,0,374,3055,71,0,0,1580,5,0,0,89402,2,0,0,0,10431,0,1729,0,0,0,21,19,2082,5776,0,8146,35553,19,5,1006,22,959,0,17034,8,694,328,844,4,0,25,1219,312,4873,0,200,19256,5,170,0,0,559,0,0,25,0,0,0,0,37,0,0,0,0,0,37,0,0,0,5495,0,29,0,1253,0,0,11158,1,0,1870,0,6,0,0,0,9195,1028
Clean17,N,0,0,383,53,0,0,18,0,270534,310,989,183,113,0,1,249,115061,32,0,311,0,0,30,519,49,0,0,1000,18,2,0,237115,146,0,0,0,100961,0,808,0,0,0,159,167,3794,618177,0,97774,63523,48,38,2892,222,1685,0,22309,29,1425,30812,1866,3,2,305,509,713,6349,0,769,14935,16,508,4,0,457,0,0,186,6,0,0,0,410,0,0,0,0,0,233,0,0,0,8327,0,246,0,155,8,0,217634,34,0,150,1,41,0,0,0,7386,1184
